******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
convolution_kernel : 0.017836 
convolution_kernel : 0.002408 
convolution_kernel : 0.003132 
convolution_kernel : 0.002161 
convolution_kernel : 0.002147 
convolution_kernel : 0.002006 
convolution_kernel : 0.020463 
convolution_kernel : 0.004911 
convolution_kernel : 0.004402 
convolution_kernel : 0.002785 
convolution_kernel : 0.002688 
convolution_kernel : 0.002784 
convolution_kernel : 0.002168 
convolution_kernel : 0.014620 
convolution_kernel : 0.003582 
convolution_kernel : 0.003186 
convolution_kernel : 0.003219 
convolution_kernel : 0.003183 
convolution_kernel : 0.003099 
convolution_kernel : 0.002935 
convolution_kernel : 0.004073 
convolution_kernel : 0.003995 
convolution_kernel : 0.003852 
convolution_kernel : 0.003771 
convolution_kernel : 0.002969 
convolution_kernel : 0.002902 
convolution_kernel : 0.002730 
convolution_kernel : 0.002937 
convolution_kernel : 0.003615 
convolution_kernel : 0.003652 
convolution_kernel : 0.003626 
convolution_kernel : 0.003659 
convolution_kernel : 0.003723 
convolution_kernel : 0.003701 
convolution_kernel : 0.003847 
convolution_kernel : 0.003427 
convolution_kernel : 0.003428 
convolution_kernel : 0.003307 
convolution_kernel : 0.002966 
convolution_kernel : 0.003079 
convolution_kernel : 0.002706 
convolution_kernel : 0.002741 
convolution_kernel : 0.003200 
convolution_kernel : 0.004510 
convolution_kernel : 0.004371 
convolution_kernel : 0.004335 
convolution_kernel : 0.004382 
convolution_kernel : 0.004371 
convolution_kernel : 0.003858 
convolution_kernel : 0.003306 
convolution_kernel : 0.003223 
convolution_kernel : 0.003057 
convolution_kernel : 0.003004 
convolution_kernel : 0.002868 
convolution_kernel : 0.002844 
convolution_kernel : 0.003408 
convolution_kernel : 0.004041 
convolution_kernel : 0.003750 
convolution_kernel : 0.003364 
convolution_kernel : 0.003256 
convolution_kernel : 0.003210 
convolution_kernel : 0.002966 
convolution_kernel : 0.002851 
convolution_kernel : 0.002542 
convolution_kernel : 0.002528 
convolution_kernel : 0.003648 
convolution_kernel : 0.003985 
convolution_kernel : 0.004361 
convolution_kernel : 0.004888 
convolution_kernel : 0.003777 
convolution_kernel : 0.003581 
convolution_kernel : 0.003598 
convolution_kernel : 0.003529 
convolution_kernel : 0.003482 
convolution_kernel : 0.002916 
convolution_kernel : 0.002859 
convolution_kernel : 0.002840 
convolution_kernel : 0.003643 
convolution_kernel : 0.003573 
convolution_kernel : 0.003541 
convolution_kernel : 0.003481 
convolution_kernel : 0.003445 
convolution_kernel : 0.003315 
convolution_kernel : 0.003066 
convolution_kernel : 0.003066 
convolution_kernel : 0.003728 
convolution_kernel : 0.003594 
convolution_kernel : 0.003662 
convolution_kernel : 0.004076 
convolution_kernel : 0.004199 
convolution_kernel : 0.004581 
convolution_kernel : 0.004958 
convolution_kernel : 0.004782 
convolution_kernel : 0.004260 
convolution_kernel : 0.003969 
convolution_kernel : 0.003843 
convolution_kernel : 0.003660 
convolution_kernel : 0.003555 
convolution_kernel : 0.003400 
convolution_kernel : 0.003607 
convolution_kernel : 0.003448 
convolution_kernel : 0.003610 
convolution_kernel : 0.003619 
convolution_kernel : 0.003146 
convolution_kernel : 0.003084 
convolution_kernel : 0.003202 
convolution_kernel : 0.003209 
convolution_kernel : 0.003259 
convolution_kernel : 0.003145 
convolution_kernel : 0.002789 
convolution_kernel : 0.002470 
convolution_kernel : 0.002637 
convolution_kernel : 0.002360 
convolution_kernel : 0.002810 
convolution_kernel : 0.004527 
convolution_kernel : 0.006012 
convolution_kernel : 0.006276 
convolution_kernel : 0.005955 
convolution_kernel : 0.004231 
convolution_kernel : 0.004066 
convolution_kernel : 0.003372 
convolution_kernel : 0.003167 
convolution_kernel : 0.002789 
convolution_kernel : 0.002590 
convolution_kernel : 0.002662 
convolution_kernel : 0.002705 
convolution_kernel : 0.003419 
convolution_kernel : 0.004028 
convolution_kernel : 0.003961 
convolution_kernel : 0.003894 
convolution_kernel : 0.003870 
convolution_kernel : 0.003777 
convolution_kernel : 0.003669 
convolution_kernel : 0.003226 
convolution_kernel : 0.003160 
